<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TWS-OLD,19851216,9.09801046,9.22207424,9.09801046,9.22207424,21762.99981656
TWS-OLD,19851217,9.22207424,9.30478343,9.22207424,9.30478343,7254.33327219
TWS-OLD,19851219,9.22207424,9.22207424,9.22207424,9.22207424,9672.44436292
TWS-OLD,19851224,9.22207424,9.22207424,9.22207424,9.22207424,2418.11109073
TWS-OLD,19851227,9.22207424,9.22207424,9.22207424,9.22207424,12090.55545364
TWS-OLD,19860109,9.13936505,9.13936505,9.13936505,9.13936505,12090.55545364
TWS-OLD,19860110,9.13936505,9.13936505,9.13936505,9.13936505,4836.22218146
TWS-OLD,19860114,8.97394668,9.13936505,8.97394668,9.13936505,9672.44436292
TWS-OLD,19860115,8.97394668,8.97394668,8.97394668,8.97394668,12090.55545364
TWS-OLD,19860116,9.13936505,9.13936505,9.05665587,9.05665587,14508.66654437
TWS-OLD,19860120,9.05665587,9.13936505,9.05665587,9.13936505,16926.7776351
TWS-OLD,19860121,9.05665587,9.05665587,9.05665587,9.05665587,7254.33327219
TWS-OLD,19860122,9.05665587,9.22207424,9.05665587,9.22207424,12090.55545364
TWS-OLD,19860123,9.22207424,9.22207424,9.22207424,9.22207424,2418.11109073
TWS-OLD,19860124,9.05665587,9.05665587,9.05665587,9.05665587,4836.22218146
TWS-OLD,19860127,9.13936505,9.13936505,9.13936505,9.13936505,7254.33327219
TWS-OLD,19860129,9.05665587,9.05665587,9.05665587,9.05665587,2418.11109073
TWS-OLD,19860203,9.13936505,9.13936505,9.13936505,9.13936505,2418.11109073
TWS-OLD,19860204,9.05665587,9.05665587,9.05665587,9.05665587,26599.22199802
TWS-OLD,19860206,9.05665587,9.05665587,9.05665587,9.05665587,12090.55545364
TWS-OLD,19860211,9.05665587,9.13936505,9.05665587,9.13936505,14508.66654437
TWS-OLD,19860212,9.05665587,9.13936505,9.05665587,9.13936505,14508.66654437
TWS-OLD,19860213,9.05665587,9.13936505,9.05665587,9.13936505,12090.55545364
TWS-OLD,19860217,9.05665587,9.05665587,9.05665587,9.05665587,2418.11109073
TWS-OLD,19860218,9.13936505,9.13936505,9.13936505,9.13936505,2418.11109073
TWS-OLD,19860225,9.05665587,9.05665587,9.05665587,9.05665587,7254.33327219
TWS-OLD,19860227,8.8912375,8.8912375,8.8912375,8.8912375,7254.33327219
TWS-OLD,19860228,8.8912375,8.97394668,8.8912375,8.97394668,7254.33327219
TWS-OLD,19860314,8.8912375,8.8912375,8.8912375,8.8912375,9672.44436292
TWS-OLD,19860317,8.8912375,8.8912375,8.8912375,8.8912375,2418.11109073
TWS-OLD,19860320,8.8912375,8.8912375,8.8912375,8.8912375,2418.11109073
TWS-OLD,19860403,8.8912375,8.8912375,8.8912375,8.8912375,13413576.5747143
TWS-OLD,19860404,8.22956401,8.22956401,8.22956401,8.22956401,692256.84305383
