<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UT,19810106,11.00,11.00,11.00,11.00,600000
UT,19810112,11.00,11.00,11.00,11.00,5000
UT,19810127,10.70,10.70,10.70,10.70,10000
UT,19810210,10.70,10.90,10.70,10.90,21000
UT,19810220,11.00,11.00,11.00,11.00,100000
UT,19810224,11.00,11.00,11.00,11.00,100000
UT,19810225,11.00,11.00,11.00,11.00,220000
UT,19810302,11.00,11.00,11.00,11.00,220000
UT,19810303,11.00,11.00,11.00,11.00,220000
UT,19810305,11.00,11.20,11.00,11.10,161000
UT,19810306,11.00,11.40,11.00,11.40,175000
UT,19810309,11.00,11.60,11.00,11.60,227000
UT,19810310,11.60,11.60,11.60,11.60,2000
UT,19810312,11.20,11.40,11.00,11.40,1736000
UT,19810316,11.50,11.50,11.50,11.50,5000
UT,19810323,11.50,11.50,11.50,11.50,2000
UT,19810324,11.50,11.50,11.50,11.50,1000
UT,19810327,11.10,11.10,10.90,10.90,3000
UT,19810331,11.00,11.00,11.00,11.00,3000
UT,19810410,10.00,10.00,10.00,10.00,34000
UT,19810415,10.00,10.00,10.00,10.00,5000
UT,19810420,10.00,10.00,10.00,10.00,420000
UT,19810421,10.00,10.00,10.00,10.00,860000
UT,19810423,10.00,10.00,10.00,10.00,980000
UT,19810424,10.00,10.00,10.00,10.00,880000
UT,19810427,10.00,10.00,10.00,10.00,30000
UT,19810428,10.00,10.00,10.00,10.00,22000
UT,19810507,10.00,10.00,10.00,10.00,10000
UT,19810512,10.00,10.00,10.00,10.00,14000
UT,19810521,9.95,9.95,9.95,9.95,2000
UT,19810522,9.95,9.95,9.95,9.95,18000
UT,19810529,9.75,9.75,9.75,9.75,2000
UT,19810601,9.60,9.60,9.60,9.60,1000
UT,19810724,9.40,9.40,9.40,9.40,1000
UT,19810728,9.20,9.20,9.20,9.20,1000
UT,19810729,9.00,9.00,8.80,8.80,3000
UT,19810820,8.60,8.60,8.60,8.60,2000
UT,19810828,8.60,8.60,8.60,8.60,220000
UT,19810910,8.60,8.60,8.60,8.60,50000
UT,19811116,8.40,8.40,8.40,8.40,1000
UT,19811228,8.00,8.00,8.00,8.00,1000
UT,19811229,8.00,8.00,8.00,8.00,440000
UT,19820104,8.00,8.00,8.00,8.00,440000
UT,19820818,8.00,8.00,8.00,8.00,300000
UT,19820826,7.60,7.60,7.60,7.60,1000
UT,19820908,7.20,7.20,7.20,7.20,2000
UT,19821217,7.20,7.20,7.20,7.20,1000
UT,19830210,7.20,7.20,7.20,7.20,31000
UT,19830520,7.00,7.00,7.00,7.00,1000
UT,19830719,7.20,7.60,7.20,7.60,3000
UT,19830720,7.80,8.20,7.80,8.20,4000
UT,19830721,8.10,8.10,8.10,8.10,6000
UT,19830722,8.30,8.50,8.30,8.50,7000
UT,19830728,8.40,8.80,8.40,8.80,11000
UT,19830729,9.00,9.50,9.00,9.30,7000
UT,19830801,9.50,9.50,9.50,9.50,1000
UT,19840528,5.50,5.50,5.50,5.50,4000
UT,19840531,5.30,5.30,5.30,5.30,2000
UT,19840619,5.10,5.10,5.10,5.10,1000
UT,19840920,5.00,5.00,5.00,5.00,450000
UT,19841214,5.00,5.00,5.00,5.00,100000
UT,19841226,5.10,5.40,5.10,5.40,8000
UT,19841227,5.50,5.75,5.50,5.75,12000
UT,19841228,5.95,5.95,5.75,5.90,240000
UT,19850102,5.75,5.75,5.60,5.70,260000
UT,19860507,6.00,6.00,6.00,6.00,2000
UT,19860508,6.00,6.00,6.00,6.00,50000
UT,19860515,6.60,6.60,6.60,6.60,1000
UT,19860516,6.80,7.20,6.80,7.20,49000
UT,19860519,7.40,7.40,7.40,7.40,1000
UT,19860520,7.40,7.40,7.40,7.40,2000
UT,19860521,7.40,7.40,7.40,7.40,1000
UT,19860529,7.20,7.20,7.20,7.20,2000
UT,19860702,7.00,7.00,7.00,7.00,2000
UT,19860728,7.20,7.20,7.20,7.20,25000
UT,19860729,7.30,7.90,7.30,7.90,28000
UT,19860730,8.40,8.65,8.40,8.65,17000
UT,19860731,8.85,8.85,8.00,8.00,18000
UT,19860801,8.00,8.00,8.00,8.00,1000
UT,19860805,8.10,8.10,8.10,8.10,3000
UT,19860807,7.90,7.90,7.70,7.90,10000
UT,19860808,8.00,8.00,8.00,8.00,6000
UT,19860813,7.90,7.90,7.90,7.90,10000
UT,19860814,7.90,7.90,7.90,7.90,3000
UT,19860815,7.90,7.90,7.90,7.90,5000
UT,19860819,7.80,7.90,7.80,7.90,2000
UT,19860820,7.90,7.90,7.90,7.90,5000
UT,19860821,8.00,8.00,8.00,8.00,85000
UT,19860822,8.10,8.20,8.10,8.10,134000
UT,19860825,8.10,8.10,8.00,8.10,14000
UT,19860826,8.10,8.85,8.10,8.85,426000
UT,19860827,9.00,9.55,9.00,9.50,175000
UT,19860828,9.60,9.60,9.45,9.50,178000
UT,19860829,9.50,9.70,9.50,9.60,185000
UT,19860901,9.65,9.85,9.65,9.80,101000
UT,19860902,9.90,9.95,9.70,9.70,127000
UT,19860903,9.70,9.70,9.70,9.70,41000
UT,19860904,9.70,9.70,9.50,9.60,63000
UT,19860905,9.60,9.60,9.40,9.50,52000
UT,19860908,9.60,9.60,9.40,9.40,11000
UT,19860909,9.40,9.40,8.80,8.80,34000
UT,19860910,9.00,9.10,8.90,8.90,17000
UT,19860912,8.80,8.80,8.80,8.80,7000
UT,19860915,8.80,8.80,8.70,8.70,10000
UT,19860916,8.60,8.60,8.55,8.55,7000
UT,19860917,8.50,8.55,8.50,8.50,21000
UT,19860918,8.50,8.50,8.50,8.50,12000
UT,19860919,8.50,8.50,8.50,8.50,4000
UT,19860922,8.55,8.55,8.55,8.55,10000
UT,19860923,8.50,8.50,8.50,8.50,9000
UT,19860924,8.30,8.30,8.10,8.25,20000
UT,19860925,8.30,8.30,8.30,8.30,7000
UT,19860926,8.50,8.50,8.50,8.50,1000
UT,19860929,8.70,9.00,8.70,9.00,7000
UT,19860930,9.20,9.70,9.20,9.70,16000
UT,19861001,9.65,9.65,9.40,9.40,25000
UT,19861002,9.50,9.50,9.50,9.50,15000
UT,19861003,9.50,9.55,9.50,9.50,34000
UT,19861006,9.40,9.40,9.40,9.40,3000
UT,19861009,9.20,9.20,9.20,9.20,2000
UT,19861013,9.40,9.40,9.40,9.40,3000
UT,19861014,9.40,9.50,9.40,9.50,14000
UT,19861015,9.50,9.50,9.50,9.50,7000
UT,19861016,9.60,9.80,9.60,9.70,48000
UT,19861017,9.70,9.80,9.70,9.80,17000
UT,19861020,9.80,10.40,9.80,10.10,118000
UT,19861021,10.20,10.40,10.20,10.20,21000
UT,19861022,10.40,10.40,10.20,10.20,111000
UT,19861024,10.40,10.50,10.40,10.40,122000
UT,19861027,10.40,11.40,10.40,11.20,290000
UT,19861028,11.20,11.20,10.60,11.10,171000
UT,19861029,11.00,11.10,11.00,11.10,243000
UT,19861030,10.90,10.90,10.80,10.90,77000
UT,19861031,10.90,10.90,10.70,10.70,26000
UT,19861103,10.60,10.80,10.60,10.70,70000
UT,19861104,10.70,10.70,10.60,10.60,159000
UT,19861105,10.60,10.60,10.60,10.60,24000
UT,19861106,10.50,10.50,10.50,10.50,25000
UT,19861107,10.40,10.40,10.30,10.30,20000
UT,19861111,10.00,10.00,10.00,10.00,3000
UT,19861112,10.00,10.00,9.80,9.80,22000
UT,19861113,9.60,9.70,9.60,9.70,35000
UT,19861114,9.60,10.15,9.60,10.15,246000
UT,19861117,10.25,10.65,10.25,10.45,81000
UT,19861118,10.65,10.85,10.45,10.65,257000
