<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VPO,20141124,4.12,4.16,2.94,2.94,616381600
VPO,20141125,2.9,2.94,2.74,2.74,54187700
VPO,20141126,2.78,2.92,2.74,2.74,37507000
VPO,20141127,2.84,3,2.82,2.92,111370300
VPO,20141128,2.9,3,2.86,2.86,76806300
VPO,20141201,2.88,2.88,2.82,2.82,14639100
VPO,20141202,2.84,3.34,2.84,3.3,314672700
VPO,20141203,3.22,3.42,3.06,3.12,316718700
VPO,20141204,3.14,3.34,3.12,3.16,145548600
VPO,20141208,3.2,3.3,3.02,3.04,62608300
VPO,20141209,3.1,3.14,3.02,3.04,21135000
VPO,20141211,3,3.02,2.9,2.9,16029300
VPO,20141212,2.92,3.04,2.92,2.92,17688500
VPO,20141215,2.86,2.88,2.5,2.7,12466200
VPO,20141216,2.7,2.84,2.62,2.76,10954100
VPO,20141217,2.78,2.92,2.76,2.8,20034500
VPO,20141218,2.86,2.96,2.8,2.94,19116000
VPO,20141219,3.02,3.22,2.96,3.16,107882700
VPO,20141222,3.12,3.22,3.08,3.08,61913700
VPO,20141223,3.06,3.08,2.98,3,15455200
VPO,20141224,3.02,3.08,2.96,2.96,8976500
VPO,20141225,3,3,2.92,2.92,4362800
VPO,20141226,2.92,2.98,2.9,2.9,4178100
VPO,20141229,2.92,3.02,2.92,2.92,9254400
VPO,20141230,2.92,2.92,2.86,2.92,3081100
VPO,20150105,2.92,2.96,2.9,2.9,1988900
VPO,20150106,2.88,3.14,2.88,3.04,54137100
VPO,20150107,3.04,3.16,3.04,3.06,48959900
VPO,20150108,3.1,3.12,3.06,3.06,14850100
VPO,20150109,3.14,3.16,3.06,3.06,16828200
VPO,20150112,3.06,3.1,3.04,3.04,4933800
VPO,20150113,3.04,3.06,2.98,3,5023400
VPO,20150114,3.04,3.2,3.02,3.16,107646300
VPO,20150115,3.14,3.16,3.08,3.08,19143200
VPO,20150116,3.06,3.08,3.02,3.04,10847300
VPO,20150119,3.08,3.12,3.06,3.08,6476500
VPO,20150120,3.1,3.22,3.06,3.06,48069400
VPO,20150121,3.06,3.1,3.04,3.06,7977700
VPO,20150122,3.08,3.12,3.06,3.06,9118800
VPO,20150123,3.1,3.12,3.06,3.06,5731100
VPO,20150126,3.08,3.1,3.04,3.04,6036700
VPO,20150127,3.06,3.08,3.04,3.04,2797800
VPO,20150128,3.06,3.06,3.02,3.04,3771000
VPO,20150129,3.04,3.08,3,3.02,3611200
VPO,20150130,3.02,3.06,3.02,3.02,1210100
VPO,20150202,3.02,3.02,2.94,3,4272100
VPO,20150203,3,3.08,3,3.04,4631400
VPO,20150204,3.06,3.18,3.04,3.08,30836800
VPO,20150205,3.08,3.1,3.04,3.08,5000700
VPO,20150206,3.1,3.14,3.04,3.04,26583700
VPO,20150209,3.06,3.18,3.04,3.14,45466100
VPO,20150210,3.18,3.26,3.04,3.04,79641000
VPO,20150211,3.06,3.08,3.04,3.04,8770600
VPO,20150212,3.04,3.08,3.04,3.04,4323900
VPO,20150213,3.06,3.08,3.04,3.04,3717000
VPO,20150216,3.06,3.08,3.04,3.04,3005200
VPO,20150217,3.06,3.06,3.04,3.04,3978300
VPO,20150218,3.06,3.06,3.02,3.02,1638100
VPO,20150219,3.04,3.06,3.02,3.02,3479700
VPO,20150220,3.02,3.04,3.02,3.04,1220000
VPO,20150223,3.04,3.04,2.98,2.98,5632200
VPO,20150224,2.98,3,2.92,2.94,6613000
VPO,20150225,2.92,2.96,2.92,2.92,3509900
VPO,20150226,2.92,2.94,2.84,2.86,3192500
VPO,20150227,2.86,2.92,2.86,2.9,1111800
VPO,20150302,2.9,2.92,2.84,2.84,1695700
VPO,20150303,2.84,2.86,2.78,2.78,1697900
VPO,20150305,2.78,2.84,2.72,2.72,2098800
VPO,20150306,2.74,2.82,2.72,2.78,715900
VPO,20150309,2.78,2.8,2.74,2.78,713600
VPO,20150310,2.8,2.8,2.74,2.74,935900
VPO,20150311,2.74,2.76,2.72,2.74,1465100
VPO,20150312,2.74,2.76,2.72,2.74,753000
VPO,20150313,2.74,2.78,2.7,2.74,1331100
VPO,20150316,2.74,2.74,2.6,2.62,1140000
VPO,20150317,2.64,2.66,2.58,2.6,781500
VPO,20150318,2.58,2.62,2.58,2.6,648800
VPO,20150319,2.62,2.64,2.6,2.6,429700
VPO,20150320,2.62,2.64,2.58,2.58,900800
VPO,20150323,2.58,2.6,2.48,2.48,591100
VPO,20150324,2.5,2.5,2.36,2.36,1249700
VPO,20150325,2.4,2.44,2.38,2.38,242500
VPO,20150326,2.38,2.5,2.34,2.34,1505900
VPO,20150327,2.38,2.38,2.32,2.32,586000
VPO,20150330,2.32,2.36,2.32,2.34,583700
VPO,20150331,2.36,2.4,2.34,2.4,2107000
VPO,20150401,2.4,2.62,2.38,2.5,5499600
VPO,20150402,2.54,2.54,2.48,2.48,1031000
VPO,20150403,2.52,2.52,2.46,2.46,521700
VPO,20150407,2.48,2.52,2.46,2.48,637200
VPO,20150408,2.5,2.52,2.46,2.46,622300
VPO,20150409,2.48,2.48,2.44,2.44,404700
VPO,20150410,2.44,2.48,2.44,2.48,140800
VPO,20150416,2.5,2.62,2.5,2.62,2837800
VPO,20150417,2.64,2.7,2.6,2.62,6417100
VPO,20150420,2.62,2.62,2.58,2.6,1064600
VPO,20150421,2.6,2.66,2.6,2.6,639900
VPO,20150422,2.62,2.64,2.6,2.6,592700
VPO,20150423,2.6,2.62,2.56,2.56,1044000
VPO,20150424,2.56,2.58,2.52,2.52,745700
VPO,20150427,2.5,2.52,2.5,2.5,840500
VPO,20150428,2.52,2.52,2.42,2.42,482100
VPO,20150429,2.4,2.46,2.4,2.42,195800
VPO,20150430,2.44,2.46,2.42,2.42,170400
VPO,20150506,2.44,2.44,2.28,2.3,689500
VPO,20150507,2.28,2.34,2,2,1229700
VPO,20150508,2.14,2.26,2.14,2.14,1296000
VPO,20150511,2.18,2.18,2.16,2.18,239000
VPO,20150512,2.18,2.18,2.12,2.12,376900
VPO,20150513,1.85,2,1.85,1.98,1472500
VPO,20150514,2,2.04,2,2.02,191100
VPO,20150515,2,2.12,2,2.1,664700
VPO,20150518,2.12,2.14,2.06,2.1,154300
VPO,20150519,2.12,2.14,2.06,2.12,138100
VPO,20150520,2.12,2.12,2.08,2.08,132500
VPO,20150521,2.06,2.12,2.06,2.1,129700
VPO,20150522,2.12,2.2,2.12,2.14,327700
VPO,20150525,2.14,2.14,2,2.02,1213100
VPO,20150526,2.04,2.06,2.02,2.02,144900
VPO,20150527,2.02,2.04,2,2.04,188300
VPO,20150528,2.06,2.06,2.02,2.02,390400
VPO,20150529,2.04,2.06,1.99,2.04,220900
VPO,20150602,2.02,2.04,1.99,1.99,304400
VPO,20150603,2.02,2.04,2,2,219600
VPO,20150604,2,2.02,1.99,2.02,678000
VPO,20150605,2.02,2.46,2.02,2.22,11714700
VPO,20150608,2.26,2.32,2.22,2.22,1813700
