<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VTE,20110309,2.20,2.31,1.92,1.92,104769614.52
VTE,20110310,1.95,1.96,1.63,1.66,36312463.71
VTE,20110311,1.68,1.94,1.68,1.80,63961497.68
VTE,20110314,1.83,1.84,1.74,1.76,12310805.07
VTE,20110315,1.69,1.71,1.66,1.66,3625638.68
VTE,20110316,1.70,1.82,1.69,1.70,11817437.65
VTE,20110317,1.71,1.76,1.69,1.70,11518604.21
VTE,20110318,1.71,1.72,1.66,1.66,4199376.96
VTE,20110321,1.69,1.69,1.66,1.66,1655274.20
VTE,20110322,1.68,1.71,1.66,1.66,3899630.21
VTE,20110323,1.68,1.69,1.65,1.66,1907346.42
VTE,20110324,1.68,1.73,1.65,1.68,10473052.51
VTE,20110325,1.69,1.71,1.65,1.65,5993656.20
VTE,20110328,1.66,1.68,1.64,1.64,2085440.92
VTE,20110329,1.65,1.78,1.65,1.70,30550969.67
VTE,20110330,1.70,1.72,1.69,1.72,5970275.59
VTE,20110331,1.74,1.76,1.69,1.71,11396586.65
VTE,20110401,1.75,1.75,1.71,1.71,3747473.58
VTE,20110404,1.71,1.73,1.69,1.69,1613262.17
VTE,20110405,1.70,1.75,1.69,1.69,5965161.08
VTE,20110407,1.70,1.71,1.69,1.69,2056032.49
VTE,20110408,1.70,1.89,1.70,1.73,40160766.17
VTE,20110411,1.73,1.75,1.71,1.72,3334477.00
VTE,20110412,1.72,1.82,1.71,1.75,10902305.91
VTE,20110418,1.75,1.81,1.75,1.76,8272352.48
VTE,20110419,1.76,1.83,1.76,1.77,18831255.67
VTE,20110420,1.80,1.80,1.76,1.77,6059962.15
VTE,20110421,1.77,1.81,1.76,1.77,5259906.86
VTE,20110422,1.78,1.78,1.73,1.74,2099871.14
VTE,20110425,1.75,1.75,1.72,1.72,2437063.39
VTE,20110426,1.73,1.73,1.71,1.71,1993379.76
VTE,20110427,1.72,1.72,1.70,1.72,1070941.59
VTE,20110428,1.71,1.74,1.70,1.70,1533439.30
VTE,20110429,1.70,1.70,1.69,1.70,734114.66
VTE,20110503,1.71,1.71,1.64,1.69,1230404.66
VTE,20110504,1.69,1.72,1.69,1.69,983446.96
