<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WHA,20121108,0.78955829,0.95704036,0.78955829,0.95704036,6926092472.49777
WHA,20121109,1.0766704,1.10538161,0.97618116,0.98096636,2864527065.25462
WHA,20121112,0.99053677,1.02403318,0.95704036,0.96182556,1256511278.20378
WHA,20121113,0.97139596,1.00967757,0.96182556,1.00967757,972069772.135595
WHA,20121114,0.98096636,0.99053677,0.95225515,0.95225515,654390378.211066
WHA,20121115,0.94746995,0.96661076,0.93311435,0.96182556,429382102.613444
WHA,20121116,0.96661076,1.00967757,0.96661076,1.00010717,706072629.363231
WHA,20121119,1.00489237,1.01446278,0.98575157,0.99532197,390221789.470408
WHA,20121120,1.00010717,1.01446278,0.95704036,0.95704036,496576761.282593
WHA,20121121,0.96661076,0.97139596,0.95225515,0.95704036,255704995.7939
WHA,20121122,0.96182556,0.97618116,0.95704036,0.96182556,127505595.074935
WHA,20121123,0.96182556,0.96661076,0.94746995,0.95225515,98163049.7501377
WHA,20121126,0.96661076,0.99053677,0.96182556,0.96661076,240533221.770823
WHA,20121127,0.96661076,0.98575157,0.96661076,0.98096636,152718742.952128
WHA,20121128,0.97618116,1.05274439,0.97618116,1.03360358,1027484363.28848
WHA,20121129,1.02403318,1.02403318,0.99532197,1.00010717,351663331.825808
WHA,20121130,1.00967757,1.03360358,1.00010717,1.03360358,231994396.88676
WHA,20121203,1.02403318,1.03360358,1.00489237,1.03360358,62870912.0501755
WHA,20121204,1.03360358,1.03838879,1.00967757,1.01924798,60960856.7530553
WHA,20121206,1.02403318,1.02403318,1.00010717,1.00489237,43989785.5627786
WHA,20121207,1.00489237,1.02881838,0.99053677,1.02403318,79952741.3703727
WHA,20121211,1.02403318,1.05752959,1.01446278,1.05752959,174224628.141038
WHA,20121212,1.05274439,1.10538161,1.04317399,1.10059641,277869160.434224
WHA,20121213,1.10059641,1.18673004,1.10059641,1.18673004,233530382.273394
WHA,20121214,1.18194484,1.24415246,1.15801883,1.23218946,163148815.148985
WHA,20121217,1.23218946,1.28004148,1.22022645,1.26807847,102967444.857445
WHA,20121218,1.26807847,1.26807847,1.16758923,1.25611547,188270012.880584
WHA,20121219,1.25611547,1.25611547,1.20826345,1.23218946,59397704.2779504
WHA,20121220,1.23218946,1.36378251,1.20826345,1.3398565,127570378.132058
WHA,20121221,1.3398565,1.37574551,1.32789349,1.3518195,57957848.5889835
WHA,20121224,1.36378251,1.49537555,1.36378251,1.49537555,430671494.427802
WHA,20121225,1.54322757,1.6150056,1.47144955,1.57911659,474337364.704964
WHA,20121226,1.60304259,1.60304259,1.54322757,1.54322757,122051279.620357
WHA,20121227,1.55519058,1.60304259,1.55519058,1.59107959,120538281.770122
WHA,20121228,1.6150056,1.75856165,1.6150056,1.74659865,253410421.706112
WHA,20130102,1.78248766,1.8781917,1.69874663,1.85426569,284477032.260804
WHA,20130103,1.86622869,1.91408071,1.83033968,1.84230268,163694246.694442
WHA,20130104,1.85426569,1.85426569,1.79445067,1.79445067,124979055.847125
WHA,20130107,1.81837667,1.8781917,1.81837667,1.84230268,88784134.8995083
WHA,20130108,1.84230268,1.8901547,1.84230268,1.85426569,77666526.38673
WHA,20130109,1.86622869,1.86622869,1.83033968,1.84230268,70325143.1714311
WHA,20130110,1.85426569,1.86622869,1.75856165,1.78248766,133102015.299976
WHA,20130111,1.79445067,1.8781917,1.74659865,1.8781917,161102924.409509
WHA,20130114,1.8901547,2.17726681,1.8781917,2.17726681,344461963.604937
WHA,20130115,2.24904483,2.35671187,2.24904483,2.24904483,272057493.27745
WHA,20130116,2.27297084,2.27297084,2.20119282,2.20119282,84571146.4104554
WHA,20130117,2.18922981,2.33278587,2.18922981,2.28493385,117031637.581317
WHA,20130118,2.29689685,2.29689685,2.26100784,2.26100784,46079561.5990151
WHA,20130121,2.26100784,2.34474887,2.26100784,2.32082286,90280414.5414536
WHA,20130122,2.33278587,2.33278587,2.28493385,2.28493385,65006663.1592092
WHA,20130123,2.30885986,2.30885986,2.23708183,2.28493385,53331084.4447558
WHA,20130124,2.29689685,2.38063788,2.28493385,2.33278587,144445319.624668
WHA,20130125,2.34474887,2.35671187,2.32082286,2.32082286,24563227.529924
WHA,20130128,2.33278587,2.51223093,2.32082286,2.50026793,201485756.533743
WHA,20130129,2.51223093,2.58400896,2.36867488,2.36867488,227572430.794084
WHA,20130130,2.40456389,2.40456389,2.34474887,2.34474887,102986252.841772
WHA,20130131,2.34474887,2.40456389,2.33278587,2.33278587,125522397.616546
WHA,20130201,2.35671187,2.40456389,2.34474887,2.34474887,33505379.18898
WHA,20130204,2.36867488,2.45241591,2.35671187,2.44045291,91398444.7208401
WHA,20130205,2.40456389,2.47634192,2.38063788,2.38063788,71909193.4068984
WHA,20130206,2.4165269,2.4165269,2.33278587,2.36867488,78201509.0520066
WHA,20130207,2.33278587,2.38063788,2.26100784,2.36867488,194564418.301728
WHA,20130208,2.4165269,2.63186098,2.40456389,2.57204595,293987603.001716
WHA,20130211,2.61989797,2.81130604,2.57204595,2.76345403,307232603.519383
WHA,20130212,2.79934304,2.83523205,2.72756501,2.76345403,122680302.207265
WHA,20130213,2.75149102,2.76345403,2.61989797,2.64382398,95839218.7978427
WHA,20130214,2.67971299,2.77541703,2.63186098,2.65578699,160093562.584007
WHA,20130215,2.77541703,2.83523205,2.75149102,2.75149102,202169113.297593
WHA,20130218,2.83523205,3.00271411,2.81130604,3.00271411,271069029.212311
WHA,20130219,2.9668251,2.99075111,2.90701008,2.93093609,124997863.831451
WHA,20130220,2.99075111,2.99075111,2.89504707,2.91897308,60070612.1616186
WHA,20130221,2.91897308,2.9548621,2.89504707,2.91897308,56915050.3469014
WHA,20130222,2.93093609,2.94289909,2.90701008,2.91897308,29428226.1422826
WHA,20130226,2.88308407,2.89504707,2.82326905,2.87112107,94779702.3474708
WHA,20130227,2.87112107,2.88308407,2.78738003,2.78738003,28826370.6438465
WHA,20130228,2.82326905,2.83523205,2.59597196,2.79934304,133649536.62147
WHA,20130301,2.83523205,2.83523205,2.72756501,2.72756501,37348477.319619
WHA,20130304,2.71560201,2.71560201,2.65578699,2.703639,37866741.7766056
WHA,20130305,2.72756501,2.81130604,2.691676,2.75149102,49556948.9233127
WHA,20130306,2.79934304,2.91897308,2.77541703,2.87112107,107387321.174086
WHA,20130307,2.90701008,2.90701008,2.83523205,2.84719506,34539818.3269171
WHA,20130308,2.85915806,2.85915806,2.79934304,2.82326905,23829716.141205
WHA,20130311,2.85915806,2.85915806,2.77541703,2.78738003,20387855.0095234
WHA,20130312,2.77541703,2.78738003,2.71560201,2.73952802,48881951.2636083
WHA,20130313,2.75149102,2.75149102,2.63186098,2.65578699,34318302.067076
WHA,20130314,2.64382398,2.72756501,2.63186098,2.66774999,29177453.0179342
WHA,20130315,2.71560201,2.72756501,2.65578699,2.66774999,14367210.249126
WHA,20130318,2.63186098,2.65578699,2.58400896,2.63186098,51161896.9191423
WHA,20130319,2.64382398,2.65578699,2.4284899,2.48830492,72059657.2815074
WHA,20130320,2.51223093,2.52419394,2.23708183,2.34474887,94658495.3373691
WHA,20130321,2.29689685,2.46437891,2.28493385,2.39260089,110574229.629346
WHA,20130322,2.34474887,2.38063788,2.11745179,2.17726681,84851176.3993111
WHA,20130325,2.23708183,2.30885986,2.17726681,2.28493385,98846406.5139871
WHA,20130326,2.28493385,2.40456389,2.23708183,2.39260089,79223409.5337262
WHA,20130327,2.4165269,2.60793497,2.40456389,2.59597196,81120926.174629
WHA,20130328,2.56008295,2.67971299,2.51223093,2.54811995,63159301.1431761
WHA,20130329,2.59597196,2.60793497,2.53615694,2.54811995,21553950.0377434
WHA,20130401,2.53615694,2.53615694,2.45241591,2.45241591,25094030.643128
WHA,20130402,2.45241591,2.52419394,2.40456389,2.40456389,23125461.6169933
WHA,20130403,2.4284899,2.46437891,2.26100784,2.28493385,41051560.4558301
WHA,20130404,2.1533408,2.32082286,2.14137779,2.28493385,75181782.6796448
WHA,20130405,2.29689685,2.29689685,2.22511883,2.24904483,32266141.9994918
WHA,20130409,2.26100784,2.28493385,2.20119282,2.26100784,14162412.1975749
WHA,20130410,2.28493385,2.34474887,2.20119282,2.34474887,20734757.8315387
WHA,20130411,2.35671187,2.46437891,2.30885986,2.46437891,30625667.8110461
WHA,20130412,2.48830492,2.52419394,2.4284899,2.48830492,19984528.2345298
WHA,20130417,2.46437891,2.56008295,2.46437891,2.52419394,36268063.1088847
