<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WORLD,19940830,0.312208,0.329176,0.281666,0.298634,261200089.443073
WORLD,19940831,0.288453,0.29524,0.269789,0.283363,67834229.004733
WORLD,19940901,0.283363,0.293544,0.271485,0.293544,44554888.903196
WORLD,19940902,0.281666,0.296937,0.281666,0.296937,49490698.355104
WORLD,19940905,0.291847,0.302027,0.288453,0.291847,13113046.006562
WORLD,19940906,0.293544,0.305421,0.291847,0.305421,22144840.615576
WORLD,19940907,0.305421,0.315602,0.303724,0.312208,75348446.37928
WORLD,19940908,0.312208,0.318995,0.310511,0.317299,28244617.072562
WORLD,19940909,0.318995,0.335963,0.317299,0.335963,51494489.654983
WORLD,19940912,0.335963,0.34275,0.329176,0.339357,40399968.707858
WORLD,19940913,0.339357,0.352931,0.335963,0.349537,29909531.902608
WORLD,19940914,0.352931,0.352931,0.339357,0.34275,52098573.796858
WORLD,19940915,0.34275,0.349537,0.318995,0.325782,34580133.682474
WORLD,19940916,0.329176,0.339357,0.325782,0.329176,25563072.833017
WORLD,19940919,0.320692,0.320692,0.305421,0.317299,8206704.07377
WORLD,19940920,0.317299,0.322389,0.315602,0.322389,30469414.76581
WORLD,19940921,0.324086,0.325782,0.313905,0.325782,15868259.043896
WORLD,19940922,0.324086,0.329176,0.312208,0.324086,24531709.663962
WORLD,19940923,0.324086,0.330873,0.318995,0.329176,15750388.967433
WORLD,19940926,0.320692,0.325782,0.317299,0.317299,4243322.752685
WORLD,19940927,0.312208,0.318995,0.308815,0.318995,5834568.784942
WORLD,19940928,0.320692,0.327479,0.318995,0.322389,10313631.690555
WORLD,19940929,0.318995,0.318995,0.312208,0.317299,3167758.304956
WORLD,19940930,0.317299,0.320692,0.315602,0.318995,2755213.037334
WORLD,19941003,0.317299,0.322389,0.317299,0.322389,4965276.971024
WORLD,19941004,0.322389,0.330873,0.320692,0.325782,8044632.718633
WORLD,19941005,0.322389,0.327479,0.318995,0.318995,1031363.169055
WORLD,19941006,0.318995,0.329176,0.317299,0.325782,11963812.761043
WORLD,19941007,0.322389,0.322389,0.317299,0.317299,1768051.146952
WORLD,19941010,0.317299,0.324086,0.312208,0.317299,4537997.943844
WORLD,19941011,0.318995,0.325782,0.317299,0.322389,7764691.287032
WORLD,19941012,0.324086,0.329176,0.324086,0.325782,4685335.539423
WORLD,19941013,0.327479,0.327479,0.318995,0.325782,7455282.336315
WORLD,19941014,0.325782,0.339357,0.325782,0.33257,16457609.426213
WORLD,19941017,0.330873,0.339357,0.325782,0.33257,12184819.154412
WORLD,19941018,0.33257,0.339357,0.318995,0.325782,14748493.317493
WORLD,19941019,0.322389,0.322389,0.313905,0.320692,4891608.173234
WORLD,19941020,0.318995,0.318995,0.308815,0.310511,4950543.211466
WORLD,19941021,0.313905,0.317299,0.305421,0.317299,7131139.626041
WORLD,19941025,0.308815,0.315602,0.307118,0.310511,2990953.190261
WORLD,19941026,0.310511,0.312208,0.303724,0.303724,4037050.118874
WORLD,19941027,0.303724,0.305421,0.29524,0.298634,2961485.671145
WORLD,19941028,0.298634,0.307118,0.298634,0.298634,3256160.862304
WORLD,19941031,0.302027,0.303724,0.298634,0.302027,1561778.513141
WORLD,19941101,0.300331,0.303724,0.298634,0.298634,736687.977897
WORLD,19941102,0.291847,0.300331,0.28506,0.298634,1709116.10872
WORLD,19941103,0.291847,0.300331,0.291847,0.298634,1871187.463858
WORLD,19941104,0.291847,0.29524,0.288453,0.29015,2180596.414574
WORLD,19941107,0.283363,0.288453,0.283363,0.288453,663019.180107
