<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WR,20020730,174.17,175.00,135.83,137.50,1594872.64
WR,20020731,139.17,142.50,131.67,135.00,614676.25
WR,20020801,134.17,140.00,133.33,135.00,343968.14
WR,20020802,135.83,137.50,130.00,130.83,229644.09
WR,20020805,133.33,135.00,130.83,130.83,172848.07
WR,20020806,130.83,131.67,125.00,125.00,108468.04
WR,20020807,126.67,128.33,121.67,122.50,124464.05
WR,20020808,122.50,123.33,112.50,112.50,121956.05
WR,20020809,114.17,115.83,106.67,106.67,136236.05
WR,20020813,106.67,109.17,104.17,105.83,65172.03
WR,20020814,105.00,112.50,105.00,110.83,115236.05
WR,20020815,111.67,112.50,105.00,106.67,82440.03
WR,20020816,106.67,108.33,100.83,102.50,116136.05
WR,20020819,103.33,103.33,100.00,100.00,17040.01
WR,20020820,100.83,101.67,100.83,100.83,20016.01
WR,20020821,101.67,104.17,101.67,101.67,51240.02
WR,20020822,102.50,110.83,102.50,110.00,370896.15
WR,20020823,110.83,111.67,105.00,105.00,149736.06
WR,20020826,105.00,110.83,104.17,107.50,166068.07
WR,20020827,108.33,108.33,105.00,105.83,55668.02
WR,20020828,106.67,107.50,101.67,102.50,60852.02
WR,20020829,102.50,103.33,100.83,100.83,21852.01
WR,20020830,101.67,104.17,101.67,101.67,54660.02
WR,20020902,102.50,104.17,101.67,102.50,72624.03
WR,20020903,103.33,103.33,99.17,99.17,55452.02
WR,20020904,98.33,99.17,94.17,95.83,64416.03
WR,20020905,95.83,95.83,92.50,92.50,29304.01
WR,20020906,92.50,93.33,90.00,91.67,56004.02
WR,20020909,91.67,92.50,90.83,90.83,27036.01
WR,20020910,92.50,95.00,91.67,93.33,65568.03
WR,20020911,94.17,95.83,93.33,94.17,58620.02
WR,20020912,95.83,99.17,95.00,95.83,92184.04
WR,20020913,95.00,97.50,94.17,94.17,74424.03
WR,20020916,95.83,96.67,93.33,94.17,34284.01
WR,20020917,95.83,96.67,95.00,96.67,50640.02
WR,20020918,95.00,95.83,92.50,93.33,54588.02
WR,20020919,94.17,95.00,93.33,93.33,69768.03
WR,20020920,92.00,93.00,89.00,90.00,42910.00
WR,20020923,89.00,89.50,86.50,86.50,13630.00
WR,20020924,86.00,86.00,78.00,80.00,22060.00
WR,20020925,77.00,79.00,76.50,77.50,11820.00
WR,20020926,77.50,78.50,76.00,76.00,8000.00
WR,20020927,77.00,78.50,76.50,76.50,8620.00
WR,20020930,76.00,76.00,73.50,74.00,5080.00
WR,20021001,73.00,74.50,73.00,74.00,1630.00
WR,20021002,75.00,76.00,74.50,74.50,9700.00
WR,20021003,74.00,74.50,74.00,74.50,5160.00
WR,20021004,75.00,76.00,74.50,75.50,12280.00
WR,20021007,75.00,76.00,74.50,75.00,8800.00
WR,20021008,75.00,80.00,75.00,78.00,90320.00
WR,20021009,79.00,79.50,77.00,77.00,34450.00
WR,20021010,76.00,77.00,75.50,76.00,8200.00
WR,20021011,77.00,77.00,74.00,74.00,19080.00
WR,20021014,75.00,75.00,71.50,71.50,14270.00
WR,20021015,72.50,72.50,70.50,71.50,18040.00
WR,20021016,72.00,72.50,71.50,71.50,15840.00
WR,20021017,72.00,72.50,71.50,72.00,12470.00
WR,20021018,72.00,73.00,72.00,72.50,40140.00
WR,20021021,73.00,73.00,72.00,72.00,17270.00
WR,20021022,72.50,80.00,72.50,77.00,328220.00
